Function    Description
abs()    Returns the absolute value of a number
all()    Returns True if all items in an iterable object are true
any()    Returns True if any item in an iterable object is true
bin()    Returns the binary version of a number
bool()    Returns the boolean value of the specified object
dict()    Returns a dictionary (Array)
dir()    Returns a list of the specified object's properties and methods
divmod()    Returns the quotient and the remainder when argument1 is divided by argument2
enumerate()    Takes a collection (e.g. a tuple) and returns it as an enumerate object
eval()    Evaluates and executes an expression
exec()    Executes the specified code (or object)
filter()    Use a filter function to exclude items in an iterable object
float()    Returns a floating point number
hash()    Returns the hash value of a specified object
id()    Returns the id of an object
input()    Allowing user input
int()    Returns an integer number
isinstance()    Returns True if a specified object is an instance of a specified object
issubclass()    Returns True if a specified class is a subclass of a specified object
iter()    Returns an iterator object
len()    Returns the length of an object
list()    Returns a list
map()    Returns the specified iterator with the specified function applied to each item
max()    Returns the largest item in an iterable
min()    Returns the smallest item in an iterable
oct()    Converts a number into an octal
open()    Opens a file and returns a file object
print()    Prints to the standard output device
range()    Returns a sequence of numbers, starting from 0 and increments by 1 (by default)
repr()    Returns a readable version of an object
reversed()    Returns a reversed iterator
round()    Rounds a numbers
set()    Returns a new set object
slice()    Returns a slice object
sorted()    Returns a sorted list
